variant,output_group,input_group,output_center_y_mm,input_center_y_mm,ux_amplitude_nm,ux_phase_deg
lens,6,6,24.0,24.0,50.122026889542084,15.911857006024853
lens,6,7,24.0,28.799999999999997,1.3333706159160224,156.73744375641107
lens,6,8,24.0,33.6,0.256653330051533,-171.02765212683926
lens,7,1,28.799999999999997,0.0,0.12109185591725266,-164.8122373388468
lens,7,2,28.799999999999997,4.8,0.19695729640725707,177.0447102819476
lens,7,3,28.799999999999997,9.6,0.22337647725134907,-107.54769487271633
lens,7,4,28.799999999999997,14.399999999999999,0.3434752504773233,-130.46836716050007
lens,7,5,28.799999999999997,19.2,0.24231144967874763,-130.25712493873326
lens,7,6,28.799999999999997,24.0,1.3398187615315007,57.17005847508032
lens,7,7,28.799999999999997,28.799999999999997,53.85525627102244,118.04841279261755
lens,7,8,28.799999999999997,33.6,1.612731861905934,-98.63529055007487
lens,8,1,33.6,0.0,0.09380352719036107,-154.25065122237572
lens,8,2,33.6,4.8,0.26239620440110223,-122.96328294112263
lens,8,3,33.6,9.6,0.12205289212498384,-154.5938195334473
lens,8,4,33.6,14.399999999999999,0.1962476479149036,-71.85330107372351
lens,8,5,33.6,19.2,0.5559201102860877,-79.8972027790693
lens,8,6,33.6,24.0,0.19104678874896505,-16.441477230238522
lens,8,7,33.6,28.799999999999997,1.4907271065519787,151.59432500015743
lens,8,8,33.6,33.6,57.60158964770973,-132.0175088924222
uniform,1,1,0.0,0.0,53.6320534999701,-130.38920569631216
uniform,1,2,0.0,4.8,2.3049206585998103,-86.91562779406458
uniform,1,3,0.0,9.6,0.055566162068564594,-175.8287396797496
uniform,1,4,0.0,14.399999999999999,1.109462177489173,-143.864610458294
uniform,1,5,0.0,19.2,0.6958524974541184,-87.75095867934859
uniform,1,6,0.0,24.0,0.574140820842783,-72.59527906540342
uniform,1,7,0.0,28.799999999999997,0.6130437148739214,-4.041050863690711
uniform,1,8,0.0,33.6,0.379204081105394,27.70308567440275
uniform,2,1,4.8,0.0,1.3273895879610733,-75.38721370282518
uniform,2,2,4.8,4.8,57.30757718210416,-134.46004931978496
uniform,2,3,4.8,9.6,2.595872286660235,-99.83586382955438
uniform,2,4,4.8,14.399999999999999,0.3738261739998318,-122.80307294320602
uniform,2,5,4.8,19.2,0.9352816253367494,-105.32780261878308
uniform,2,6,4.8,24.0,0.5893699245125581,-31.732823470354877
uniform,2,7,4.8,28.799999999999997,0.3070573387288727,-35.077916174375005
uniform,2,8,4.8,33.6,0.5133444550555543,15.90533123513084
uniform,3,1,9.6,0.0,0.12141069488962597,168.54209186491752
uniform,3,2,9.6,4.8,2.403057324048378,-100.59427567736337
uniform,3,3,9.6,9.6,57.83628978704033,-131.43610950537496
uniform,3,4,9.6,14.399999999999999,2.0533927573884596,-87.43684978109145
uniform,3,5,9.6,19.2,0.12123557522599293,-126.61325000074557
uniform,3,6,9.6,24.0,0.5803337801155365,-107.29235592573521
uniform,3,7,9.6,28.799999999999997,0.36905036652446893,-31.642645398983948
uniform,3,8,9.6,33.6,0.3193938386710379,-43.47530184914317
uniform,4,1,14.399999999999999,0.0,0.6082946998420357,-138.5450274782062
uniform,4,2,14.399999999999999,4.8,0.3605884308031556,-125.45355961912897
uniform,4,3,14.399999999999999,9.6,2.1647215463786638,-86.75884672104311
uniform,4,4,14.399999999999999,14.399999999999999,58.226963775187215,-130.7259950104729
uniform,4,5,14.399999999999999,19.2,1.5034891547825597,-75.68703329696923
uniform,4,6,14.399999999999999,24.0,0.23983087104309675,149.058171956409
uniform,4,7,14.399999999999999,28.799999999999997,0.5785989917060499,-119.28274307669626
uniform,4,8,14.399999999999999,33.6,0.20760354943398288,-69.50591405188985
uniform,5,1,19.2,0.0,0.38127283733357265,-88.27741829981466
uniform,5,2,19.2,4.8,0.8992727562873157,-107.49107221738666
uniform,5,3,19.2,9.6,0.121575039448273,-92.72467370083386
uniform,5,4,19.2,14.399999999999999,1.580859896188248,-72.30855978975627
uniform,5,5,19.2,19.2,58.738327828183266,-131.38536832829138
uniform,5,6,19.2,24.0,1.5259282584974596,-80.19478996754432
uniform,5,7,19.2,28.799999999999997,0.34564333506903044,175.32503603600537
uniform,5,8,19.2,33.6,0.7693592970692957,-126.11132215746314
uniform,6,1,24.0,0.0,0.33697225707630535,-67.11015871803109
uniform,6,2,24.0,4.8,0.5718040451099815,-34.112146101959766
uniform,6,3,24.0,9.6,0.5619181530911461,-104.14698955039071
uniform,6,4,24.0,14.399999999999999,0.25278030454532935,138.74294285854504
uniform,6,5,24.0,19.2,1.5915533696395432,-80.62088191858062
uniform,6,6,24.0,24.0,58.38576389198811,-130.66715181313955
uniform,6,7,24.0,28.799999999999997,1.7951081250831842,-110.00681765032535
uniform,6,8,24.0,33.6,0.5215819885681066,-172.4889952492939
uniform,7,1,28.799999999999997,0.0,0.3392984620032017,-2.790877227528547
uniform,7,2,28.799999999999997,4.8,0.299672944567773,-40.17781462540801
uniform,7,3,28.799999999999997,9.6,0.381155535775441,-29.188683597256567
uniform,7,4,28.799999999999997,14.399999999999999,0.5760325644911856,-122.6156111970333
uniform,7,5,28.799999999999997,19.2,0.3322685462588944,168.96240305109083
uniform,7,6,28.799999999999997,24.0,1.866659395158469,-110.31095057810178
uniform,7,7,28.799999999999997,28.799999999999997,58.556268264946326,-129.76765167904907
uniform,7,8,28.799999999999997,33.6,1.5794979170289876,-88.1188277767282
uniform,8,1,33.6,0.0,0.21518774155183193,25.002672288614573
uniform,8,2,33.6,4.8,0.4992970439878013,10.89120896463788
uniform,8,3,33.6,9.6,0.31335216244103986,-39.80440406421953
uniform,8,4,33.6,14.399999999999999,0.18116247869040977,-78.3225273006641
uniform,8,5,33.6,19.2,0.755652694413809,-128.6213612166104
uniform,8,6,33.6,24.0,0.5041873624265947,-169.39262947893832
uniform,8,7,33.6,28.799999999999997,1.6242975242316298,-85.97431757893797
uniform,8,8,33.6,33.6,58.6900880586362,-131.89885996258442
