length_mm,target_coherence,overlap_phase_deg
8.2,0.2327436361566678,175.27387563812738
8.25,0.231243853649359,174.29517808166517
8.3,0.22974072339217638,173.31933335789543
8.35,0.228234012023786,172.3463910403964
8.4,0.2267234863217932,171.37640283423482
8.45,0.22520891323504116,170.40942268047235
8.5,0.2236900599197205,169.44550686657527
8.55,0.22216669377965417,168.484714143125
8.6,0.22063858251113888,167.52710584725705
8.65,0.21910549415274033,166.5727460332875
8.7,0.21756719714049294,165.62170161102412
8.75,0.21602346036893982,164.67404249229355
8.8,0.21447405325851787,163.72984174626262
8.85,0.21291874582979933,162.7891757641718
8.9,0.21135730878515377,161.85212443415244
8.95,0.20978951359842132,160.91877132685144
9.0,0.20821513261323868,159.98920389264399
9.05,0.20663393915070358,159.0635136712808
9.1,0.2050457076271148,158.14179651488377
9.15,0.20345021368257762,157.22415282528138
9.2,0.2018472343213366,156.3106878067549
9.25,0.20023654806474198,155.40151173535907
9.3,0.19861793511786027,154.49674024607657
9.35,0.19699117755079337,153.59649463917773
9.4,0.1953560594958728,152.7009022072655
9.45,0.1937123673619868,151.81009658462565
9.5,0.19205989006740942,150.92421812063148
9.55,0.19039841929261167,150.04341427911626
9.6,0.18872774975467235,149.16784006578592
9.65,0.1870476795050341,148.29765848593792
9.7,0.1853580102525287,147.43304103494742
9.75,0.1836585477137412,146.57416822421123
9.8,0.1819491019930014,145.7212301454756
9.85,0.1802294879944819,144.87442707675126
9.9,0.17849952586912474,144.03397013330294
9.95,0.17675904149938318,143.20008196753068
10.0,0.17500786702503773,142.37299752191004
10.05,0.17324584141368884,141.55296483954845
10.1,0.171472811079856,140.74024593734137
10.15,0.1696886305570404,139.93511774717877
10.2,0.16789316322751754,139.13787313116933
10.25,0.16608628211514828,138.34882197740887
10.3,0.1642678707470242,137.5682923834387
10.35,0.16243782409038535,136.79663193521597
10.4,0.16059604957193668,136.0342090901552
10.45,0.15874246818745374,135.2814146736064
10.5,0.15687701571043056,134.53866349901537
10.55,0.15499964400948568,133.8063961229689
10.6,0.15311032248532447,133.0850807473587
10.65,0.15120903963927143,132.37521528202487
10.7,0.14929580478674845,131.6773295824395
10.75,0.14737064993060484,130.99198787828257
10.8,0.14543363181092925,130.31979141013414
10.85,0.14348483414990185,129.66138129294995
10.9,0.1415243701124288,129.0174416264956
10.95,0.13955238500572079,128.38870287446358
11.0,0.13756905924374982,127.77594553555257
11.05,0.1355746116055519,127.18000413132458
11.1,0.1335693028198331,126.60177153708639
11.15,0.13155343951214302,126.04220368330981
11.2,0.12952737855521612,125.50232465608534
11.25,0.1274915318678546,124.98323222564196
11.3,0.1254463717130249,124.48610383187858
11.35,0.12339243655172286,124.01220305485704
11.4,0.12133033751556918,123.56288659596807
11.45,0.11926076556812039,123.13961179154629
11.5,0.1171844994324099,122.74394467449144
11.55,0.11510241437028261,122.37756859019845
11.6,0.11301549190745422,122.04229335984178
11.65,0.11092483060679653,121.74006496557261
11.7,0.10883165800072062,121.47297570691305
11.75,0.10673734380130703,121.24327474361917
11.8,0.1046434145132788,121.05337889511706
11.85,0.10255156957913991,120.9058835073054
11.9,0.10046369918638554,120.80357312047119
11.95,0.09838190386193847,120.74943157298652
12.0,0.0963085159663271,120.74665104938103
12.05,0.09424612317645822,120.79863942274686
12.1,0.09219759400690357,120.90902504430464
12.15,0.09016610536005623,121.08165789154307
